Body Id,Platform,Primer Color,Topcoat Color,Topcoat Last Used,Ambient Humidity,Ambient Temperature,Paint Temperature,Paint Pressure,Electrical Resistivity,Paint Viscosity,Basecoat Humidity,Basecoat Temperature,Clearcoat Humidity,Clearcoat Temperature,Engine Run Number,Primer Applied,Dust Defect
AWK6L11870,W207,PK02,BK07,1485.0,28.0706882,32.8696518,24.7999992,6.33707857,667.0,42.12,67.8339844,23.7062263,68.8586273,23.6089516,3,1,1
AZ06M86083,S101,PK02,BK33,28.0,28.13554,32.48703,24.7999992,6.48314619,667.0,42.12,67.8339844,23.7062263,68.6997452,23.4824905,1,1,1
AZ06M86078,S101,PK02,BK33,2.0,28.2619991,32.5810661,24.7999992,6.53932571,667.0,42.12,67.8339844,23.7062263,68.7613525,23.3852158,1,1,1
AZ06M86081,S101,PK02,BK33,1.0,28.2944241,32.4546051,24.7999992,7.17977524,667.0,42.12,68.0901413,23.4176407,68.6997452,23.3527908,1,1,0
AZ06M86077,S101,PK02,BK33,11.0,27.1108952,33.2555161,24.8999996,6.40898895,667.0,42.12,67.8015594,23.3852158,68.0252914,23.6089516,1,1,1
VMK6L67923,BLR,PK02,BK01,29.0,28.9040222,33.2555161,24.8999996,6.51460695,667.0,42.12,68.0901413,23.5149155,68.1549988,23.6413765,1,1,0
AWK6L12509,W207,MK09,BK11,1095.0,86.7055817,19.9902725,24.2000008,7.09213495,628.0,42.5,71.6472168,23.4500656,73.3430634,22.8404694,1,1,0
VPK6L17616,BLRPICKUP,PK02,BK08,1107.0,86.514267,19.9578476,24.2000008,7.20898867,628.0,42.5,71.773674,23.5473442,74.6887207,23.0350227,1,1,0
VMK6L68021,BLR,PK02,BK01,1063.0,86.3197174,19.9254227,24.1000004,6.91235971,628.0,42.5,71.6796417,23.6089516,75.7457886,23.3236084,2,1,0
VMK6L67957,BLR,PK02,BK01,9.0,86.9617386,19.9254227,24.1000004,6.67640448,628.0,42.5,71.9033737,23.8359299,73.3430634,23.9623871,1,1,1
VMK6L68015,BLR,PK02,BK01,2.0,86.6083069,19.9578476,24.1000004,7.16404486,628.0,42.5,71.8709488,23.8683548,72.6718597,23.994812,1,1,0
AWK6L12505,W207,MK09,BK11,21.0,86.575882,19.9578476,24.1000004,7.06292152,628.0,42.5,72.0298309,23.8975372,72.0622559,24.0272408,1,1,1
VMK6L67988,BLR,PK02,BK01,5.0,86.8644638,19.9578476,24.1000004,6.6606741,628.0,42.5,72.0298309,23.9623871,71.6147919,24.0272408,1,1,1
VMK6L68000,BLR,PK02,BK01,3.0,86.3197174,19.9902725,24.1000004,6.44044971,628.0,42.5,69.3385239,24.0920906,71.5499344,23.9623871,1,1,0
VMK6L68005,BLR,PK02,BK01,1.0,86.514267,20.0226974,24.1000004,6.61348343,628.0,42.5,69.1147919,24.1245155,71.6472168,23.8975372,1,1,0
AWK6L12507,W207,MK09,BK11,9.0,86.1284103,20.1167336,24.0,6.62022495,628.0,42.5,68.9234772,24.0920906,71.773674,23.8975372,1,1,0
VMK6L68007,BLR,PK02,BK01,7.0,85.6485138,20.2464333,24.0,6.89213467,628.0,42.5,68.4435806,24.1245155,71.6147919,23.994812,1,1,0
VMK6L68158,BLR,PK02,BK16,1254.0,85.5836639,20.2788582,24.0,6.41797781,628.0,42.5,68.3787308,24.1245155,71.4202347,24.0272408,1,1,0
VMK6L67997,BLR,PK02,BK01,4.0,85.3599243,20.2788582,24.0,6.54606771,628.0,42.5,68.3463058,24.153698,71.0376129,24.0920906,1,1,1
VMK6L68130,BLR,PK02,BK16,6.0,85.4863815,20.3112869,24.0,6.58651686,628.0,42.5,68.3463058,24.153698,70.7490311,24.1245155,1,1,1
VMK6L67987,BLR,PK02,BK01,6.0,85.4863815,20.3728943,24.0,7.24044943,628.0,42.5,68.3463058,24.153698,70.6193314,24.0920906,1,1,0
VNK6L64910,BLR,MK01,BK16,4.0,85.5188065,20.4053192,24.0,6.70337105,628.0,42.5,68.3463058,24.153698,70.5577164,24.0920906,1,0,0
VNK6L64836,BLR,MK01,BK16,2.0,85.3923492,20.4377441,24.0,6.08988762,628.0,42.5,68.3463058,24.153698,70.4280167,24.1245155,1,0,1
VBK6L00919,BLR,MK01,BK16,2.0,85.1686172,20.4377441,24.0,6.60674143,628.0,42.5,68.3463058,24.153698,70.4280167,24.153698,1,0,1
